Title,URL,Location,Paid Status,Category,Urgency,Date & Time,Price,Host
Roman Frayssinet - Spectacle à Singapour,https://www.eventbrite.com/e/roman-frayssinet-spectacle-a-singapour-tickets-1252793642509?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Almost full,"Tue, Jun 17 •  8:00 PM",From $71.31,Stephen Riady Auditorium @NTUC
"2025 Swiss Club Music Festival (non-members welcome, family friendly)",https://www.eventbrite.sg/e/2025-swiss-club-music-festival-non-members-welcome-family-friendly-tickets-1146791627629?aff=ebdssbdestsearch,"Singapore, Singapore",paid,music,Going fast,"Sat, Jun 14 •  5:00 PM",From $20.00,Mick
"Min Lee & Aleksey Igudesman, SG60 : Strings In Harmony",https://www.eventbrite.com/e/min-lee-aleksey-igudesman-sg60-strings-in-harmony-tickets-1333639504659?aff=ebdssbdestsearch,"Singapore, ",paid,music,Going fast,Monday • 7:30 PM,From $0.00,Wolfgang Violin Studio
IGC in Concert 2025,https://www.eventbrite.sg/e/igc-in-concert-2025-tickets-1277379218629?aff=ebdssbdestsearch,"Singapore, ",paid,music,Almost full,Tomorrow • 4:00 PM,From $22.05,International School of Performing Arts
DOKI! DOKI! ANIME MARKET 2025,https://www.eventbrite.sg/e/doki-doki-anime-market-2025-tickets-1257062972189?aff=ebdssbdestsearch,"Singapore, ",paid,community,,THE DOKI! DOKI! TEAM,From $6.34,Suntec Singapore Convention & Exhibition Centre HALL 406
Rêverie Florale,https://www.eventbrite.sg/e/reverie-florale-tickets-1278983787939?aff=ebdssbdestsearch,"Singapore, ",paid,music,Almost full,Today • 7:30 PM,From $21.70,NTU Symphony Orchestra
NuHarmony Choir Presents: From Screen to Stage,https://www.eventbrite.sg/e/nuharmony-choir-presents-from-screen-to-stage-tickets-1308178199209?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Almost full,Tomorrow • 7:30 PM,From $53.49,SJI International School
"Revision Music presents DJ Storm (Metalheadz, UK)",https://www.eventbrite.sg/e/revision-music-presents-dj-storm-metalheadz-uk-tickets-1341484509279?aff=ebdssbdestsearch,"Singapore, ",paid,music,Sales end soon,Tomorrow • 10:30 PM,From $27.31,Revision Music
RICS x SIM Joint Networking Event – Shaping the Future Workforce,https://www.eventbrite.sg/e/rics-x-sim-joint-networking-event-shaping-the-future-workforce-tickets-1329304177579?aff=ebdssbdestsearch,"Singapore, ",paid,business,,Thursday • 7:00 PM,From $10.90,RICS
GAS 50 - German All Stars Singapore 50th Anniversary Gala,https://www.eventbrite.sg/e/gas-50-german-all-stars-singapore-50th-anniversary-gala-tickets-1340775257889?aff=ebdssbdestsearch,"Singapore, ",paid,community,,Tomorrow • 6:30 PM,From $184.47,Novotel Singapore On Stevens
INSEAD Entrepreneurship Forum@Asia,https://www.eventbrite.co.uk/e/insead-entrepreneurship-forumasia-tickets-1280790762649?aff=ebdssbdestsearch,"Singapore, ",paid,business,,"INSEAD Asia Campus, Singapore",From $100.00,Maag INSEAD Centre for Entrepreneurship
Electronic Super Cup x The Ultimate Showdown - EA Sports FC 25 (1v1),https://www.eventbrite.sg/e/electronic-super-cup-x-the-ultimate-showdown-ea-sports-fc-25-1v1-tickets-1344929874459?aff=ebdssbdestsearch,"Singapore, ",paid,other,Sales end soon,"Sat, Jun 14 •  2:30 PM",From $11.35,Zenway Productions
South East Asia Fashion Week: B2B TRADE SHOW,https://www.eventbrite.sg/e/south-east-asia-fashion-week-b2b-trade-show-tickets-1231430023349?aff=ebdssbdestsearch,"Singapore, ",paid,fashion,,"Mon, Jun 30 •  10:00 AM",From $0.00,Magaras
Whispers In The Dark by Spirited Connections,https://www.eventbrite.sg/e/whispers-in-the-dark-by-spirited-connections-tickets-1333797416979?aff=ebdssbdestsearch,"Singapore, ",paid,music,Sales end soon,Tomorrow • 10:00 PM,From $27.31,Spirited Connections
Mindfulness Based Stress Reduction by Angie Chew - NT20250624MBSR,https://www.eventbrite.sg/e/mindfulness-based-stress-reduction-by-angie-chew-nt20250624mbsr-tickets-1268314766609?aff=ebdssbdestsearch,"Singapore, ",paid,health,Almost full,"Tue, Jun 24 •  7:00 PM",From $0.00,Brahm Centre 百仁中心
Buddhist Fellowship's Fundraising Lunch & 37th Anniversary Celebrations,https://www.eventbrite.sg/e/buddhist-fellowships-fundraising-lunch-37th-anniversary-celebrations-tickets-1280713882699?aff=ebdssbdestsearch,"Singapore, ",paid,spirituality,Sales end soon,"Sun, Jun 15 •  10:30 AM",From $310.36,Buddhist Fellowship
TCM Nutrition and Dietetics X The Breast Years of Your Life Pre-Launch,https://www.eventbrite.sg/e/tcm-nutrition-and-dietetics-x-the-breast-years-of-your-life-pre-launch-tickets-1268231948899?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"Sat, Jun 14 •  9:30 AM",From $10.00,Solis Breast Care & Surgery Centre
Mindfulness Based Cognitive Therapy by Angie & Thomas - NT20250626MBCT,https://www.eventbrite.sg/e/mindfulness-based-cognitive-therapy-by-angie-thomas-nt20250626mbct-tickets-1269979736579?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"Thu, Jun 26 •  7:00 PM",From $0.00,Brahm Centre 百仁中心
Electronic Super Cup x The Ultimate Showdown - MLBB (U18),https://www.eventbrite.sg/e/electronic-super-cup-x-the-ultimate-showdown-mlbb-u18-tickets-1344922933699?aff=ebdssbdestsearch,"Singapore, ",paid,,Sales end soon,"Mon, Jun 9 •  3:00 PM",From $22.05,Zenway Productions
WellSpent Sunday Luxe: Royal Cuisine of Pakistan,https://www.eventbrite.sg/e/wellspent-sunday-luxe-royal-cuisine-of-pakistan-tickets-1317049854569?aff=ebdssbdestsearch,"Singapore, ",paid,food-and-drink,Sales end soon,Sunday • 12:00 PM,From $51.40,At-Sunrice GlobalChef Academy
